Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
28,001,03,01,000021,128,128,259,Empate Exacto (Estadísticamente Inviable)
28,001,06,01,000008,134,98,233,Clonada (Idéntica a mesa anterior)
28,010,00,00,000023,89,89,181,Empate Exacto (Estadísticamente Inviable)
28,160,99,83,000005,63,63,127,Empate Exacto (Estadísticamente Inviable)
28,200,02,03,000009,74,74,151,Empate Exacto (Estadísticamente Inviable)
28,200,02,03,000011,80,80,162,Empate Exacto (Estadísticamente Inviable)
28,200,02,03,000014,75,75,163,Empate Exacto (Estadísticamente Inviable)
28,120,00,00,000003,134,134,270,Empate Exacto (Estadísticamente Inviable)
28,020,99,92,000001,128,3,131,Polarización Extrema (>95%)
28,180,99,38,000004,42,42,84,Empate Exacto (Estadísticamente Inviable)
28,180,99,69,000002,33,33,66,Empate Exacto (Estadísticamente Inviable)
28,160,99,47,000001,99,99,203,Empate Exacto (Estadísticamente Inviable)
28,220,99,13,000004,146,0,146,Polarización Extrema (>95%)
28,280,00,00,000005,80,80,162,Empate Exacto (Estadísticamente Inviable)
28,320,99,80,000003,140,140,280,Empate Exacto (Estadísticamente Inviable)
28,200,99,38,000003,74,74,151,Empate Exacto (Estadísticamente Inviable)
28,220,99,29,000001,160,1,161,Polarización Extrema (>95%)
28,280,99,20,000002,36,36,73,Empate Exacto (Estadísticamente Inviable)
28,280,99,60,000001,103,103,210,Empate Exacto (Estadísticamente Inviable)
