Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
21,016,01,02,000007,98,98,198,Empate Exacto (Estadísticamente Inviable)
21,025,02,02,000010,78,78,160,Empate Exacto (Estadísticamente Inviable)
21,031,01,02,000013,56,56,116,Empate Exacto (Estadísticamente Inviable)
21,001,01,03,000020,139,27,167,Clonada (Idéntica a mesa anterior)
21,001,05,08,000014,122,122,251,Empate Exacto (Estadísticamente Inviable)
21,001,08,02,000004,116,116,237,Empate Exacto (Estadísticamente Inviable)
21,012,01,01,000007,128,128,259,Empate Exacto (Estadísticamente Inviable)
21,012,01,01,000038,82,82,166,Empate Exacto (Estadísticamente Inviable)
21,012,01,02,000008,111,111,225,Empate Exacto (Estadísticamente Inviable)
21,001,04,04,000006,85,85,175,Empate Exacto (Estadísticamente Inviable)
21,070,99,18,000002,85,85,171,Empate Exacto (Estadísticamente Inviable)
21,073,00,00,000004,79,79,159,Empate Exacto (Estadísticamente Inviable)
21,055,99,40,000001,194,8,204,Polarización Extrema (>95%)
21,055,99,40,000002,183,6,191,Polarización Extrema (>95%)
21,060,99,10,000002,88,88,177,Empate Exacto (Estadísticamente Inviable)
