Dpto,Mpio,Zona,Puesto,Mesa,Votos_Cepeda,Votos_Espriella,Total_Votos,Anomalia
11,001,01,04,000015,138,138,280,Empate Exacto (Estadísticamente Inviable)
11,001,03,01,000013,140,140,286,Empate Exacto (Estadísticamente Inviable)
11,001,07,01,000001,129,129,261,Empate Exacto (Estadísticamente Inviable)
11,004,99,01,000001,259,4,263,Polarización Extrema (>95%)
11,004,99,01,000002,256,0,259,Polarización Extrema (>95%)
11,004,99,01,000003,284,3,288,Polarización Extrema (>95%)
11,004,99,01,000004,245,1,251,Polarización Extrema (>95%)
11,004,99,01,000005,268,7,276,Polarización Extrema (>95%)
11,004,99,09,000001,261,0,264,Polarización Extrema (>95%)
11,004,99,09,000002,61,0,62,Polarización Extrema (>95%)
11,004,99,13,000001,248,4,261,Polarización Extrema (>95%)
11,004,99,13,000002,288,3,294,Polarización Extrema (>95%)
11,004,99,15,000001,257,0,260,Polarización Extrema (>95%)
11,004,99,15,000002,168,0,169,Polarización Extrema (>95%)
11,005,99,16,000002,251,5,264,Polarización Extrema (>95%)
11,005,99,16,000003,266,0,266,Polarización Extrema (>95%)
11,005,99,16,000004,234,4,241,Polarización Extrema (>95%)
11,005,99,25,000003,281,3,285,Polarización Extrema (>95%)
11,005,99,25,000004,53,0,53,Polarización Extrema (>95%)
11,006,99,05,000001,285,5,295,Polarización Extrema (>95%)
11,006,99,05,000004,136,0,140,Polarización Extrema (>95%)
11,007,00,00,000019,249,8,261,Polarización Extrema (>95%)
11,007,99,13,000001,226,2,232,Polarización Extrema (>95%)
11,007,99,13,000002,269,0,281,Polarización Extrema (>95%)
11,007,99,13,000003,101,1,104,Polarización Extrema (>95%)
11,007,99,16,000001,210,4,219,Polarización Extrema (>95%)
11,007,99,21,000002,116,0,116,Polarización Extrema (>95%)
11,007,99,29,000002,232,4,239,Polarización Extrema (>95%)
11,007,99,29,000003,269,4,282,Polarización Extrema (>95%)
11,007,99,56,000001,147,1,149,Polarización Extrema (>95%)
11,007,99,73,000001,266,4,275,Polarización Extrema (>95%)
11,007,99,82,000001,178,6,187,Polarización Extrema (>95%)
11,016,00,00,000014,284,4,288,Polarización Extrema (>95%)
11,016,99,21,000001,250,0,251,Polarización Extrema (>95%)
11,016,99,21,000002,280,0,280,Polarización Extrema (>95%)
11,016,99,21,000003,289,0,289,Polarización Extrema (>95%)
11,016,99,21,000004,290,2,293,Polarización Extrema (>95%)
11,016,99,21,000005,282,1,288,Polarización Extrema (>95%)
11,016,99,21,000006,288,0,289,Polarización Extrema (>95%)
11,016,99,21,000007,276,0,276,Polarización Extrema (>95%)
11,016,99,21,000008,283,0,283,Polarización Extrema (>95%)
11,019,99,10,000001,320,7,331,Polarización Extrema (>95%)
11,019,99,10,000002,319,6,328,Polarización Extrema (>95%)
11,019,99,10,000003,209,5,216,Polarización Extrema (>95%)
11,025,99,33,000001,269,0,269,Polarización Extrema (>95%)
11,025,99,33,000002,299,0,299,Polarización Extrema (>95%)
11,025,99,33,000003,308,0,308,Polarización Extrema (>95%)
11,025,99,33,000004,284,2,287,Polarización Extrema (>95%)
11,025,99,33,000005,288,0,288,Polarización Extrema (>95%)
11,025,99,33,000006,285,0,286,Polarización Extrema (>95%)
11,025,99,33,000007,294,0,298,Polarización Extrema (>95%)
11,025,99,33,000008,301,0,302,Polarización Extrema (>95%)
11,025,99,42,000001,279,4,289,Polarización Extrema (>95%)
11,025,99,42,000002,120,1,123,Polarización Extrema (>95%)
11,025,99,59,000002,272,8,285,Polarización Extrema (>95%)
11,025,99,59,000003,184,2,191,Polarización Extrema (>95%)
11,028,00,00,000026,203,2,205,Polarización Extrema (>95%)
11,028,00,00,000027,216,1,220,Polarización Extrema (>95%)
11,028,99,27,000001,224,0,224,Polarización Extrema (>95%)
11,029,99,20,000005,85,2,89,Polarización Extrema (>95%)
11,034,00,00,000005,269,6,283,Polarización Extrema (>95%)
11,034,00,00,000006,286,7,299,Polarización Extrema (>95%)
11,034,00,00,000007,276,8,289,Polarización Extrema (>95%)
11,034,00,00,000009,279,9,293,Polarización Extrema (>95%)
11,034,00,00,000010,291,10,306,Polarización Extrema (>95%)
11,034,00,00,000011,294,7,305,Polarización Extrema (>95%)
11,034,00,00,000012,178,5,184,Polarización Extrema (>95%)
11,034,99,01,000001,314,0,315,Polarización Extrema (>95%)
11,034,99,01,000002,334,0,334,Polarización Extrema (>95%)
11,034,99,01,000003,325,1,327,Polarización Extrema (>95%)
11,034,99,01,000004,311,3,315,Polarización Extrema (>95%)
11,034,99,01,000005,315,0,315,Polarización Extrema (>95%)
11,034,99,01,000006,319,3,324,Polarización Extrema (>95%)
11,034,99,01,000007,155,2,157,Polarización Extrema (>95%)
11,043,99,01,000001,243,3,253,Polarización Extrema (>95%)
11,043,99,04,000001,147,0,147,Polarización Extrema (>95%)
11,043,99,31,000001,275,0,275,Polarización Extrema (>95%)
11,043,99,31,000002,289,1,290,Polarización Extrema (>95%)
11,043,99,37,000002,239,2,249,Polarización Extrema (>95%)
11,043,99,37,000003,187,6,194,Polarización Extrema (>95%)
11,049,99,21,000005,275,12,287,Polarización Extrema (>95%)
11,049,99,21,000006,82,2,85,Polarización Extrema (>95%)
11,052,99,09,000004,80,1,83,Polarización Extrema (>95%)
11,055,99,37,000001,239,1,243,Polarización Extrema (>95%)
11,055,99,37,000002,279,0,282,Polarización Extrema (>95%)
11,055,99,37,000003,131,0,131,Polarización Extrema (>95%)
11,058,99,11,000001,301,0,309,Polarización Extrema (>95%)
11,058,99,11,000002,300,1,304,Polarización Extrema (>95%)
11,058,99,11,000003,303,2,309,Polarización Extrema (>95%)
11,058,99,25,000003,293,5,304,Polarización Extrema (>95%)
11,058,99,52,000001,276,1,287,Polarización Extrema (>95%)
11,058,99,52,000002,320,1,328,Polarización Extrema (>95%)
11,060,00,00,000009,110,43,163,Clonada (Idéntica a mesa anterior)
11,064,01,01,000011,239,9,250,Polarización Extrema (>95%)
11,064,01,01,000012,225,6,232,Polarización Extrema (>95%)
11,064,01,01,000021,227,9,237,Polarización Extrema (>95%)
11,067,99,09,000004,114,114,231,Empate Exacto (Estadísticamente Inviable)
11,073,99,01,000001,248,4,258,Polarización Extrema (>95%)
11,073,99,01,000003,258,9,271,Polarización Extrema (>95%)
11,073,99,01,000005,96,4,101,Polarización Extrema (>95%)
11,082,99,13,000001,260,9,273,Polarización Extrema (>95%)
11,082,99,13,000002,274,4,284,Polarización Extrema (>95%)
11,082,99,13,000003,260,5,270,Polarización Extrema (>95%)
11,082,99,13,000004,263,4,271,Polarización Extrema (>95%)
11,082,99,13,000005,187,3,194,Polarización Extrema (>95%)
11,082,99,14,000001,271,3,274,Polarización Extrema (>95%)
11,085,99,17,000003,195,6,204,Polarización Extrema (>95%)
11,085,99,17,000004,236,11,248,Polarización Extrema (>95%)
11,086,99,15,000002,255,6,264,Polarización Extrema (>95%)
11,087,00,00,000012,117,117,246,Empate Exacto (Estadísticamente Inviable)
11,087,99,05,000002,120,120,277,Empate Exacto (Estadísticamente Inviable)
11,087,99,40,000003,55,1,57,Polarización Extrema (>95%)
11,091,00,00,000003,223,4,227,Polarización Extrema (>95%)
11,091,00,00,000004,202,9,211,Polarización Extrema (>95%)
11,091,00,00,000006,194,5,202,Polarización Extrema (>95%)
11,091,00,00,000007,194,3,197,Polarización Extrema (>95%)
11,091,00,00,000009,214,1,215,Polarización Extrema (>95%)
11,091,00,00,000010,216,2,218,Polarización Extrema (>95%)
11,091,00,00,000011,228,1,229,Polarización Extrema (>95%)
11,091,00,00,000012,195,10,205,Polarización Extrema (>95%)
11,091,00,00,000013,192,4,196,Polarización Extrema (>95%)
11,091,99,06,000001,249,7,257,Polarización Extrema (>95%)
11,091,99,10,000001,265,1,267,Polarización Extrema (>95%)
11,091,99,10,000002,108,1,109,Polarización Extrema (>95%)
